Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
PA4544	422.4541	362.43704	512.2781	274.22202	314.56995	534.0273	490.26315	368.04187	448.407	449.4427	459.8646	442.536
PA4545	1499.7319	1187.4358	1863.6257	904.5384	1023.0101	1613.6388	853.2907	759.73236	800.44574	729.6548	681.28156	774.93896
PA4546	365.0709	316.4582	481.52356	277.2657	272.72958	386.08453	164.40602	102.40198	151.9501	145.42029	142.74678	143.99777
PA4547	727.35736	532.52527	896.42224	484.96283	567.6359	612.64197	165.36621	148.90302	128.08723	160.02728	162.3855	178.79143
PA4548	712.48956	481.42432	944.3412	552.7031	575.5163	668.43225	296.29456	239.3412	236.18925	342.5632	316.48834	344.55276
PA4549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4552	0.0	0.0	0.0	0.0	0.0	0.9488731	0.0	0.0	0.0	0.0	0.0	0.0
PA4553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA4557	653.84204	512.6845	792.9941	540.759	570.87897	749.1352	187.71028	156.25926	216.55508	189.94376	201.9219	203.28339
PA4558	1085.476	759.9399	1698.5443	829.7727	961.1546	1228.0244	142.78714	157.44449	139.62593	139.70921	186.06021	157.90436
PA4559	551.7673	373.48245	843.11	421.72403	532.9924	591.3424	126.14203	123.618164	149.44662	125.60259	158.13666	153.12769
PA4560	2975.0952	2040.8958	3747.7878	2246.0322	2479.6458	3262.4563	1043.6155	908.01135	932.11456	979.03516	1135.9418	981.3156
PA4561	642.6264	525.26373	828.9412	430.56073	466.8955	854.75165	262.64185	210.91843	266.8108	258.553	259.66434	264.9134
PA4562	229.79767	181.61514	313.23196	198.64243	168.71257	245.47955	240.80286	197.41193	328.86044	239.34137	206.05083	257.0654
PA4563	589.10846	509.7343	664.32086	270.07147	428.65753	812.3205	1271.0223	1045.5942	1370.3431	1278.2732	1642.2675	1028.9276
PA4564	510.81827	379.6066	816.44635	429.11874	468.33832	567.6971	153.57175	154.7234	164.7389	155.13843	154.23502	173.31604
PA4565	1336.606	951.23505	1481.6061	1084.5391	1163.5236	1459.6869	344.39728	246.01323	239.93736	317.29297	279.0179	250.20433
PA4566	642.1014	477.58167	816.74335	411.3335	528.1885	683.4831	477.98282	425.43057	356.475	483.15073	460.6612	492.4388
PA4567	1845.8412	1350.7203	2357.4844	1155.6008	1513.9285	2057.469	1865.0028	1658.8823	2392.2214	1547.0897	1909.3431	1593.0425
PA4568	1283.9535	1202.6045	1725.3374	852.46643	969.4734	1793.1141	1601.683	1562.908	1800.4276	1470.4464	1559.4666	1308.9387
PA4569	354.66293	297.8548	552.9427	338.43433	320.12332	515.2753	898.44446	681.16394	1234.2212	883.8847	783.0582	696.78235
PA4570	2538.468	2056.4707	2592.229	2043.3898	3221.014	4608.904	3925.677	2787.6697	3917.7078	2685.1611	3200.98	1566.354
PA4571	312.49448	279.4822	434.58502	180.01962	170.97282	260.6916	342.98782	256.0516	418.1778	261.20242	238.90462	243.443
PA4572	964.8389	698.8317	1359.5656	806.4033	866.57404	1179.9702	560.109	548.98737	345.63916	569.3022	581.84674	678.65204
PA4573	2591.4875	1973.3442	3819.9043	2341.547	2574.3682	2869.6238	1410.1064	1479.17	745.24054	1313.826	1492.6073	1509.1437
PA4574	105.17788	77.1142	169.64705	78.45181	89.62566	149.63985	180.75986	142.45575	224.08209	124.235275	144.65521	161.07005
PA4575	604.92444	446.50784	727.53625	451.6233	577.4538	665.06384	890.5886	638.379	904.1755	1126.2096	909.988	858.9687
PA4576	2842.5498	2055.1743	3731.1028	1961.5979	2156.323	2848.7324	904.0666	736.3157	647.7081	929.5457	985.1916	1084.3573
PA4577	1794.3516	1426.2699	2201.7236	860.4427	963.9228	790.83673	224.69243	132.28584	90.92306	181.2625	164.47256	146.1236
PA4578	532.1131	345.9634	735.86725	425.71683	460.87326	605.28467	245.12405	135.1218	311.90955	236.87105	215.15604	178.98878
PA4579	303.583	206.52087	368.2722	197.33423	262.36948	302.88568	152.4328	107.392525	153.39732	177.85582	142.81918	172.24446
PA4580	341.41705	289.68387	429.79996	251.1799	320.239	357.26743	314.14285	266.94498	279.3947	379.64792	327.0862	417.70804
PA4581	289.15616	249.4984	417.45	219.23314	272.03595	342.7705	862.3426	716.12683	885.614	874.1997	828.7308	905.5632
PA4582	112.21535	96.83151	138.86316	110.74066	96.27462	173.52283	321.92694	412.54852	261.9585	260.59824	274.72446	363.31198
PA4583	96.51401	63.43921	148.64967	83.26638	77.80623	112.83077	120.95161	104.75669	80.83188	99.93904	104.922905	105.79092
PA4584	274.14508	180.64468	306.93335	172.81761	194.72212	273.4457	262.4755	239.93552	217.19716	262.20114	242.6287	271.23254
PA4585	59.1095	31.922756	52.858	40.397007	48.992382	33.24469	23.058456	17.35582	12.335781	20.446726	15.083739	14.999045
PA4586	7.155083	4.026403	3.9645286	7.688286	2.9458482	6.277863	7.5187244	2.726873	7.7568903	11.402143	4.3974977	7.4520226
PA4587	394.8828	338.10257	714.5686	270.5364	201.20363	296.83173	97.35378	84.13785	72.580025	92.11644	91.65375	121.17583
PA4588	339.8519	253.44325	444.6021	239.87334	245.9636	324.87393	168.49345	149.63416	181.90143	196.29553	158.28117	181.05455
PA4589	194.7311	173.60179	278.40897	145.21852	192.86748	243.27776	187.01678	134.01704	190.99464	141.98013	153.2392	143.8782
PA4590	483.32672	343.66794	559.977	305.32715	405.6406	453.16168	1542.4564	1068.4066	2010.622	1001.72864	1302.6571	812.62946
