Gene	SRR1813212	SRR1813213	SRR1813214	SRR1813215	SRR1813216	SRR1813217	SRR1813218	SRR1813219	SRR1813220
PA2460	205.22168	176.96521	129.47833	150.89536	141.48712	187.46402	132.6526	161.13815	114.69761
PA2461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA2462	3752.2214	3302.2424	3547.2034	3805.1133	3575.586	3449.3362	4325.401	4296.588	4256.2266
PA2463	429.90323	359.30994	363.85583	359.9092	332.98224	311.22812	460.2843	436.01193	413.79272
PA2464	704.8968	570.00995	688.14923	555.0061	514.2802	531.4356	628.9811	528.1274	562.8166
PA2465	100.78925	84.20601	102.011024	98.40281	60.558247	53.8649	71.75848	67.20176	60.76382
PA2466	609.2855	530.6545	568.2596	390.68753	309.25415	314.36716	354.37988	346.37863	369.71143
PA2467	842.3959	722.4741	744.66656	336.3591	314.84583	290.0079	442.49094	460.5588	410.41852
PA2468	1030.5704	954.4785	955.27783	370.46713	363.25827	349.83685	550.81616	580.179	537.4523
PA2469	120.859474	127.16197	134.72914	126.20458	116.30764	118.522285	119.43065	119.11285	110.268524
PA2470	112.219666	99.662315	110.61228	106.72061	101.03375	110.96552	93.72341	96.86409	97.67996
PA2471	129.92671	125.59202	114.43847	150.12054	148.24254	121.696075	110.361885	113.123566	125.531425
PA2472	118.15786	85.21261	113.81711	134.05153	118.91509	90.46815	103.000114	122.518845	129.26486
PA2473	80.995125	81.81357	73.48354	86.37791	75.14214	75.38814	60.386097	100.78608	76.56221
PA2474	227.8526	166.99675	218.18298	241.93623	246.93288	240.26515	194.85513	239.85893	231.9853
PA2475	1693.8322	1616.5457	1617.5873	2099.3909	1813.6544	1861.3462	1338.9741	1351.4122	1286.6746
PA2476	775.2005	643.2829	734.87994	670.19385	630.7568	649.5236	508.61597	529.278	539.82434
PA2477	387.35373	349.53033	359.38824	354.691	316.35767	369.0024	284.0978	273.81268	284.48953
PA2478	714.29266	605.4351	698.72253	637.6355	539.7528	557.896	416.24728	474.83926	423.14215
PA2479	254.35909	217.75583	223.20079	244.60345	189.32713	224.41672	279.2588	289.41327	272.95215
PA2480	447.45062	443.7757	471.8773	463.20755	426.52692	459.20673	470.65237	414.8106	483.08997
PA2481	301.52722	255.24026	317.87875	270.38968	279.37967	259.3473	299.72678	289.2921	301.3684
PA2482	217.90616	197.11302	179.11664	193.16187	173.69753	190.53355	148.02658	159.6929	183.46504
PA2483	540.71234	602.5707	503.7315	420.18707	373.14725	403.26385	372.88074	396.55746	371.32855
PA2484	1182.4331	1015.32465	967.94635	1119.581	1009.14276	1047.6711	943.0212	981.19714	908.36444
PA2485	1905.612	2081.8735	1664.9044	633.57416	508.5496	661.2673	442.62854	500.13226	492.68658
PA2486	2002.4745	2806.2483	2089.4854	640.8871	533.9654	613.8568	458.06058	484.67844	501.04706
PA2487	232.05414	265.53046	192.95813	92.60756	86.68974	89.6025	68.411644	82.60433	50.393574
PA2488	474.9602	468.58624	442.50446	578.79584	439.18353	456.6369	390.04703	393.5783	405.25552
PA2489	611.7031	460.6509	535.40173	569.05225	470.2989	467.7598	473.91272	462.1992	455.6372
PA2490	176.46321	155.85129	156.073	168.02965	131.77606	141.6968	127.900024	148.2897	117.390755
PA2491	7965.8735	8877.838	8034.2285	5129.101	4403.45	4700.5913	4397.409	4172.83	4076.0989
PA2492	1286.5087	1159.032	1292.3827	1153.7969	1047.2781	1039.165	1029.921	990.16394	903.84564
PA2493	1990.364	2244.2566	1825.9973	625.2258	559.75916	590.05865	483.197	534.2757	529.33344
PA2494	4607.401	5539.825	4358.3096	2190.9492	2096.2544	2044.6514	1636.7561	1802.9631	1795.912
PA2495	2169.2188	2544.4026	1978.0669	1156.1296	915.6291	1085.658	857.44885	887.07654	950.885
PA2496	152.26254	158.86777	172.97263	159.98032	161.95378	145.71655	123.93414	125.399345	105.55305
